"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"12/08/2021","1702151","1561517","516457"
"12/09/2021","1578760","1449768","474764"
"12/10/2021","1641521","1512972","506819"
"12/11/2021","1273388","1158350","378096"
"12/12/2021","1306421","1195298","389552"
"12/13/2021","1368519","1247108","419014"
"12/14/2021","1708654","1547157","509553"
"12/15/2021","1462168","1335299","468555"
"12/16/2021","1419829","1285646","465070"
"12/17/2021","1465189","1329845","500814"
"12/18/2021","1302270","1181457","427462"
"12/19/2021","1229339","1115193","385813"
"12/20/2021","1478273","1335863","464153"
"12/21/2021","1617606","1482572","460397"
"12/22/2021","1534467","1407676","452836"
"12/23/2021","1463696","1336656","453665"
"12/24/2021","1321560","1196605","428191"
"12/25/2021","1192692","1083728","375645"
"12/26/2021","1294611","1181961","413713"
"12/27/2021","1434993","1306508","449902"
"12/28/2021","1433931","1308449","451215"
"12/29/2021","1435164","1283526","455693"
"12/30/2021","1487893","1358172","463918"
"12/31/2021","1413368","1289124","423495"
"01/01/2022","1193570","1085581","386233"
"01/02/2022","1297973","1184389","419725"
"01/03/2022","1418545","1296665","459196"
"01/04/2022","1519141","1394158","477784"
"01/05/2022","1522502","1394741","474348"
"01/06/2022","1478165","1355471","453318"
"01/07/2022","1397489","1267071","454171"
"01/08/2022","1286633","1175401","409643"
"01/09/2022","1240314","1132238","375989"
"01/10/2022","1321215","1207816","430064"
"01/11/2022","1331455","1217287","400519"
"01/12/2022","1353383","1234871","431148"
"01/13/2022","1362517","1242702","418054"
"01/14/2022","1330235","1213201","421773"
"01/15/2022","1318561","1201835","410055"
"01/16/2022","1320874","1204070","407998"
"01/17/2022","1387184","1265188","427976"
"01/18/2022","1505288","1374144","428916"
"01/19/2022","1339130","1218202","414291"
"01/20/2022","1380765","1254779","442050"
"01/21/2022","1319243","1192550","429228"
"01/22/2022","1235027","1124282","399140"
"01/23/2022","1091311","986060","340035"
"01/24/2022","1159806","1054771","350469"
"01/25/2022","1201625","1095540","365240"
"01/26/2022","1233867","1130023","374487"
"01/27/2022","1195786","1094346","357551"
"01/28/2022","1148909","1042869","353198"
"01/29/2022","1042213","941731","331879"
"01/30/2022","980161","881100","312551"
"01/31/2022","1018377","920709","321841"
"02/01/2022","1018956","921032","323606"
"02/02/2022","1049773","953400","317807"
"02/03/2022","983955","894591","305837"
"02/04/2022","969839","877534","298080"
"02/05/2022","1052242","942443","339548"
"02/06/2022","1041763","931281","334794"
